Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,75.1% ± 1.2%,78.1% ± 1.4%,84.4% ± 2.2%,82.4% ± 2.5%,91.6% ± 0.7%,88.3% ± 2.5%,78.5% ± 1.7%,76.1% ± 2.3%,56.0% ± 1.3%,—,3
FedAvg,73.2% ± 2.7%,75.5% ± 2.1%,85.0% ± 1.5%,83.2% ± 0.8%,89.1% ± 3.1%,83.8% ± 4.5%,73.7% ± 1.1%,70.0% ± 3.3%,61.0% ± 4.2%,70.3 ± 8.1,3
FedProx,75.4% ± 0.4%,78.0% ± 0.5%,87.7% ± 2.3%,85.4% ± 1.6%,90.7% ± 3.1%,88.8% ± 0.8%,77.0% ± 2.6%,72.4% ± 1.6%,61.3% ± 3.1%,74.3 ± 4.0,3
GCFL+,73.0% ± 1.0%,75.2% ± 0.9%,86.8% ± 3.2%,85.5% ± 4.3%,84.4% ± 0.8%,86.8% ± 1.4%,72.6% ± 1.6%,72.3% ± 3.8%,60.1% ± 1.5%,73.3 ± 3.1,3
FedALA-Full,72.5% ± 1.5%,74.7% ± 1.1%,82.8% ± 0.9%,81.8% ± 1.0%,86.0% ± 3.8%,85.0% ± 3.7%,71.9% ± 0.5%,70.3% ± 1.6%,60.0% ± 3.2%,61.0 ± 10.4,3
APPLE-Full,69.4% ± 1.7%,71.4% ± 1.6%,80.1% ± 0.7%,80.1% ± 0.7%,86.1% ± 2.4%,74.1% ± 5.5%,70.8% ± 2.1%,67.6% ± 2.5%,58.5% ± 0.7%,65.0 ± 11.8,3
APPLE-ALA,75.0% ± 0.4%,78.2% ± 0.5%,86.6% ± 1.5%,84.3% ± 2.0%,93.1% ± 0.6%,89.1% ± 1.8%,79.2% ± 1.2%,71.8% ± 1.9%,58.0% ± 0.7%,68.7 ± 5.0,3
APPLE-PostALA,75.7% ± 0.8%,78.0% ± 1.4%,87.2% ± 3.6%,85.8% ± 3.0%,87.7% ± 3.0%,88.6% ± 3.0%,78.8% ± 3.0%,73.5% ± 1.7%,61.2% ± 4.0%,77.0 ± 3.6,3
Local-Centralized Upper Bound,85.0% ± 1.9%,87.1% ± 1.0%,95.2% ± 0.6%,94.1% ± 1.4%,95.5% ± 1.3%,95.8% ± 2.3%,90.2% ± 1.7%,83.9% ± 4.3%,70.4% ± 5.7%,—,3
