Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,48.7% ± 5.3%,47.9% ± 6.9%,46.8% ± 6.6%,48.0% ± 6.1%,51.6% ± 11.5%,50.9% ± 11.5%,49.4% ± 7.3%,46.7% ± 6.6%,40.7% ± 3.0%,—,3
FedAvg,60.4% ± 5.8%,61.2% ± 6.3%,67.1% ± 10.3%,67.7% ± 10.3%,63.0% ± 9.9%,66.2% ± 10.0%,62.5% ± 2.3%,61.3% ± 6.4%,52.9% ± 3.4%,75.0 ± 4.4,3
FedProx,60.5% ± 3.5%,61.2% ± 3.3%,72.5% ± 7.0%,75.0% ± 4.8%,60.5% ± 6.7%,67.0% ± 3.2%,62.3% ± 2.2%,62.3% ± 6.1%,53.9% ± 4.2%,73.7 ± 3.2,3
GCFL+,63.3% ± 1.7%,64.5% ± 2.5%,76.1% ± 3.2%,76.4% ± 0.4%,68.7% ± 11.3%,70.9% ± 5.0%,64.8% ± 3.1%,63.5% ± 0.9%,54.5% ± 1.4%,72.0 ± 12.2,3
FedALA-Full,62.6% ± 3.1%,63.1% ± 3.4%,68.4% ± 3.7%,69.9% ± 3.4%,64.7% ± 5.6%,68.8% ± 6.4%,63.1% ± 0.8%,63.5% ± 2.7%,55.5% ± 2.0%,78.3 ± 2.1,3
APPLE-Full,60.1% ± 4.6%,60.4% ± 5.1%,63.2% ± 5.6%,64.8% ± 7.2%,63.2% ± 11.5%,62.1% ± 6.7%,58.3% ± 3.3%,63.7% ± 5.6%,55.0% ± 2.2%,80.0 ± 0.0,3
APPLE-ALA,68.7% ± 2.0%,70.6% ± 1.7%,77.7% ± 0.8%,78.3% ± 1.1%,81.1% ± 3.6%,78.8% ± 4.1%,68.6% ± 1.6%,68.0% ± 5.0%,56.4% ± 3.5%,75.3 ± 2.9,3
APPLE-PostALA,72.3% ± 0.7%,73.8% ± 1.0%,81.3% ± 1.9%,81.2% ± 1.3%,84.5% ± 1.0%,83.0% ± 4.3%,71.5% ± 2.5%,71.4% ± 2.1%,58.8% ± 1.8%,77.7 ± 1.5,3
Local-Centralized Upper Bound,87.7% ± 0.4%,89.3% ± 0.4%,95.4% ± 1.0%,93.6% ± 1.2%,98.4% ± 0.7%,95.5% ± 0.6%,91.9% ± 1.4%,85.1% ± 0.7%,75.3% ± 0.9%,—,3
