Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,46.7% ± 5.4%,47.0% ± 6.6%,43.9% ± 7.2%,45.6% ± 6.6%,51.5% ± 10.9%,50.7% ± 9.6%,47.3% ± 8.0%,45.7% ± 6.6%,39.7% ± 3.3%,—,3
FedAvg,60.4% ± 5.7%,61.1% ± 6.2%,66.9% ± 10.5%,67.5% ± 10.4%,62.7% ± 9.0%,66.4% ± 9.7%,62.4% ± 2.3%,61.2% ± 6.8%,52.9% ± 3.6%,74.3 ± 5.1,3
FedProx,60.6% ± 3.1%,61.2% ± 2.8%,72.3% ± 6.4%,75.0% ± 4.7%,60.6% ± 6.2%,66.4% ± 3.1%,62.3% ± 1.6%,62.7% ± 6.3%,54.0% ± 4.1%,74.0 ± 3.6,3
GCFL+,63.6% ± 1.8%,64.8% ± 2.6%,76.6% ± 3.3%,77.0% ± 1.0%,69.3% ± 11.7%,71.4% ± 4.4%,64.7% ± 3.5%,64.0% ± 1.5%,54.8% ± 1.7%,72.0 ± 12.2,3
FedALA-Full,62.6% ± 3.1%,63.1% ± 3.5%,68.1% ± 3.7%,69.7% ± 3.2%,65.0% ± 5.8%,68.7% ± 6.5%,63.0% ± 0.7%,62.8% ± 3.1%,55.8% ± 1.7%,78.3 ± 2.1,3
APPLE-Full,60.3% ± 4.8%,60.6% ± 5.3%,63.2% ± 5.3%,64.8% ± 7.1%,63.2% ± 11.6%,62.8% ± 7.1%,58.5% ± 3.3%,63.8% ± 5.9%,55.0% ± 2.5%,80.0 ± 0.0,3
APPLE-ALA,69.2% ± 1.7%,71.0% ± 0.7%,77.7% ± 0.9%,78.8% ± 0.9%,79.3% ± 3.6%,78.1% ± 2.3%,71.8% ± 3.9%,69.6% ± 3.4%,56.3% ± 5.2%,71.0 ± 2.6,3
APPLE-PostALA,72.3% ± 0.5%,73.8% ± 0.6%,80.9% ± 2.1%,81.0% ± 1.5%,83.0% ± 2.0%,83.3% ± 2.4%,71.6% ± 3.5%,71.5% ± 1.5%,59.6% ± 1.9%,71.7 ± 3.8,3
Local-Centralized Upper Bound,87.7% ± 0.8%,89.1% ± 0.6%,95.1% ± 0.3%,93.9% ± 0.8%,97.2% ± 1.1%,95.5% ± 1.4%,92.6% ± 1.0%,84.3% ± 2.2%,76.0% ± 1.4%,—,3
