Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,73.3% ± 0.9%,75.9% ± 0.7%,81.4% ± 0.8%,79.2% ± 1.1%,90.7% ± 1.3%,86.5% ± 0.1%,76.0% ± 1.3%,73.0% ± 2.9%,53.5% ± 3.0%,—,3
FedAvg,69.2% ± 1.9%,71.0% ± 1.8%,83.0% ± 0.5%,81.9% ± 0.7%,82.2% ± 3.0%,76.0% ± 3.6%,70.0% ± 2.2%,68.2% ± 4.3%,58.6% ± 1.6%,71.7 ± 4.7,3
FedProx,71.6% ± 3.6%,73.7% ± 3.4%,85.8% ± 1.2%,84.7% ± 1.7%,85.0% ± 4.8%,81.9% ± 5.2%,72.0% ± 1.0%,70.0% ± 2.9%,59.7% ± 5.5%,78.0 ± 0.0,3
GCFL+,72.5% ± 0.3%,74.3% ± 0.3%,86.5% ± 3.9%,85.4% ± 3.5%,81.9% ± 5.4%,83.6% ± 1.6%,75.1% ± 0.5%,71.0% ± 2.3%,60.2% ± 0.5%,72.7 ± 5.1,3
FedALA-Full,71.8% ± 1.3%,73.8% ± 1.0%,82.6% ± 1.8%,81.6% ± 2.7%,86.1% ± 2.6%,80.1% ± 1.6%,72.7% ± 2.4%,71.3% ± 3.5%,58.8% ± 1.6%,68.3 ± 5.0,3
APPLE-Full,72.3% ± 0.3%,74.7% ± 0.3%,80.4% ± 2.3%,80.0% ± 2.4%,87.7% ± 2.1%,85.0% ± 2.4%,68.5% ± 2.9%,72.3% ± 0.4%,60.0% ± 1.9%,74.7 ± 2.1,3
APPLE-ALA,73.4% ± 1.3%,76.3% ± 1.6%,84.8% ± 3.5%,82.8% ± 3.0%,92.1% ± 3.3%,84.1% ± 1.3%,76.7% ± 3.7%,71.6% ± 1.4%,57.0% ± 1.0%,63.0 ± 10.4,3
APPLE-PostALA,75.7% ± 1.5%,78.4% ± 1.0%,87.0% ± 0.8%,86.1% ± 1.9%,89.0% ± 0.9%,91.0% ± 1.8%,77.6% ± 1.6%,73.4% ± 2.2%,60.9% ± 4.1%,76.7 ± 3.2,3
Local-Centralized Upper Bound,85.1% ± 0.9%,87.5% ± 0.5%,95.2% ± 1.5%,93.7% ± 0.8%,98.2% ± 0.1%,94.9% ± 4.4%,91.3% ± 2.9%,83.5% ± 2.7%,69.8% ± 5.7%,—,3
