Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,71.6% ± 1.7%,74.5% ± 1.6%,81.2% ± 1.9%,79.1% ± 1.5%,88.3% ± 2.0%,87.1% ± 2.3%,73.6% ± 2.4%,71.9% ± 3.3%,51.9% ± 2.2%,—,3
FedAvg,67.6% ± 2.4%,69.3% ± 2.2%,83.1% ± 1.1%,82.0% ± 1.1%,79.1% ± 5.4%,74.2% ± 1.8%,68.5% ± 2.6%,67.8% ± 5.3%,56.9% ± 3.6%,71.3 ± 9.6,3
FedProx,69.2% ± 3.7%,71.5% ± 3.3%,84.6% ± 0.9%,83.7% ± 1.3%,83.9% ± 2.9%,80.0% ± 4.8%,68.3% ± 2.0%,67.6% ± 4.9%,57.5% ± 4.8%,74.3 ± 6.0,3
GCFL+,70.5% ± 1.4%,72.4% ± 1.7%,86.3% ± 3.2%,85.7% ± 2.9%,80.1% ± 6.1%,82.6% ± 2.8%,71.5% ± 3.2%,69.4% ± 2.2%,58.6% ± 1.4%,74.3 ± 5.5,3
FedALA-Full,70.4% ± 1.9%,72.7% ± 2.1%,83.4% ± 4.8%,83.1% ± 4.5%,86.8% ± 1.5%,79.5% ± 5.0%,70.3% ± 4.8%,68.7% ± 3.2%,58.0% ± 1.8%,75.7 ± 4.9,3
APPLE-Full,70.6% ± 0.7%,72.9% ± 1.1%,80.4% ± 0.9%,80.0% ± 0.8%,85.7% ± 3.8%,82.5% ± 2.3%,66.6% ± 1.6%,71.4% ± 0.4%,58.3% ± 1.3%,67.3 ± 14.8,3
APPLE-ALA,71.3% ± 1.8%,74.6% ± 2.1%,85.4% ± 3.0%,83.4% ± 2.6%,92.4% ± 2.6%,82.3% ± 4.3%,74.5% ± 3.1%,68.0% ± 1.2%,55.6% ± 1.9%,71.3 ± 10.8,3
APPLE-PostALA,73.3% ± 1.1%,75.7% ± 2.1%,86.7% ± 3.4%,85.9% ± 2.4%,87.5% ± 4.6%,87.5% ± 4.4%,74.8% ± 4.7%,69.6% ± 1.2%,59.0% ± 3.6%,75.7 ± 2.5,3
Local-Centralized Upper Bound,85.1% ± 1.4%,87.4% ± 0.4%,95.2% ± 0.6%,93.8% ± 0.3%,96.2% ± 2.3%,97.1% ± 1.3%,90.8% ± 1.9%,82.8% ± 2.9%,70.2% ± 5.7%,—,3
