Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,36.5% ± 0.5%,44.0% ± 1.6%,56.4% ± 1.4%,57.0% ± 2.3%,70.6% ± 3.0%,53.3% ± 3.9%,38.2% ± 1.4%,36.9% ± 2.3%,21.0% ± 0.3%,—,3
FedAvg,32.6% ± 5.0%,38.2% ± 4.7%,56.3% ± 1.3%,55.8% ± 1.5%,58.3% ± 4.1%,49.1% ± 10.4%,31.7% ± 6.0%,29.7% ± 4.6%,22.1% ± 3.5%,74.0 ± 3.6,3
FedProx,35.2% ± 1.6%,43.5% ± 0.4%,64.0% ± 6.7%,62.7% ± 6.2%,67.4% ± 6.3%,58.0% ± 3.6%,39.8% ± 4.4%,30.2% ± 3.6%,21.9% ± 2.5%,68.0 ± 11.0,3
GCFL+,35.1% ± 1.3%,41.8% ± 1.2%,59.8% ± 9.2%,61.4% ± 9.0%,59.9% ± 7.0%,58.3% ± 2.9%,34.3% ± 1.2%,33.7% ± 4.4%,22.7% ± 1.6%,77.7 ± 1.5,3
FedALA-Full,35.0% ± 2.3%,40.1% ± 1.0%,53.3% ± 2.3%,53.8% ± 2.3%,55.3% ± 2.2%,53.1% ± 2.2%,36.1% ± 2.6%,32.7% ± 4.1%,23.3% ± 3.4%,67.7 ± 6.7,3
APPLE-Full,29.5% ± 3.1%,33.5% ± 3.8%,46.8% ± 2.8%,52.0% ± 2.1%,53.1% ± 8.8%,35.5% ± 8.9%,28.7% ± 1.1%,28.5% ± 3.7%,21.5% ± 2.1%,63.7 ± 9.1,3
APPLE-ALA,35.5% ± 1.5%,44.5% ± 1.5%,64.7% ± 5.5%,64.7% ± 5.8%,71.3% ± 7.5%,59.6% ± 1.7%,40.1% ± 1.6%,30.9% ± 2.2%,20.6% ± 2.5%,78.3 ± 0.6,3
APPLE-PostALA,36.8% ± 2.1%,43.4% ± 1.6%,61.1% ± 5.4%,62.8% ± 6.1%,61.3% ± 17.4%,60.3% ± 7.4%,40.0% ± 1.1%,32.0% ± 0.7%,23.4% ± 4.3%,76.7 ± 5.8,3
Local-Centralized Upper Bound,82.3% ± 5.0%,84.9% ± 4.1%,94.9% ± 0.5%,94.4% ± 0.7%,97.1% ± 1.2%,95.6% ± 0.7%,83.6% ± 10.7%,80.0% ± 3.7%,68.2% ± 6.2%,—,3
