run_type,Method,q_value,protocol,selector_metric,micro_f1_mean,micro_f1_std,macro_pos_f1_mean,macro_pos_f1_std,micro_pr_auc_mean,micro_pr_auc_std,macro_pr_auc_mean,macro_pr_auc_std,cycle2_pos_f1_mean,cycle2_pos_f1_std,cycle3_pos_f1_mean,cycle3_pos_f1_std,cycle4_pos_f1_mean,cycle4_pos_f1_std,cycle5_pos_f1_mean,cycle5_pos_f1_std,cycle6_pos_f1_mean,cycle6_pos_f1_std,selected_round_mean,selected_round_std,n_seeds,n_client_rows_mean
fully_local_multi_select,Fully Local,0.8,OO,micro_pr_auc,0.4624078234828551,0.06097917541931021,0.41732414047133987,0.06690303767226258,0.49293652176856995,0.07014663464156054,0.4953034222126007,0.06692998025933038,0.4250288960878777,0.10916818800241304,0.44922163119536057,0.08790532413889138,0.4296352744603685,0.07014308187739121,0.4086374521388947,0.07137110014149399,0.3740974484741979,0.0033333934157803525,,,3,5.0
fedavg_multi_select,FedAvg,0.8,OO,micro_pr_auc,0.589845409325591,0.05890042295354667,0.5971404827439221,0.0634525100936857,0.6706442435582479,0.11111816952780876,0.6747630715370178,0.10099813244710047,0.607125047436531,0.08366568425406723,0.6456867558816338,0.08895115595599123,0.6091436161915144,0.04921895241952774,0.6059786241739434,0.07724134874380721,0.5177683700359879,0.03144603028067039,72.0,6.244997998398398,3,5.0
fedprox_multi_select,FedProx,0.8,OO,micro_pr_auc,0.5872812421892665,0.04486720445480495,0.5935206313391292,0.044313368559327854,0.7327242493629456,0.06767651995749795,0.7353374520937601,0.06980997266592762,0.5907184361886294,0.0498091341024525,0.6502871721841283,0.03257373448814075,0.6154249917498896,0.02646646325309995,0.5926854217894514,0.07254813829227173,0.5184871347835475,0.04404384791705713,74.0,5.291502622129181,3,5.0
gcfl_plus_multi_select,GCFL+,0.8,OO,micro_pr_auc,0.6315480314953575,0.023064932793735865,0.6432303993437676,0.032746980084286115,0.7722890019416809,0.03518875153727651,0.7733875314394633,0.015506815713868237,0.6718771956019832,0.13602281745154632,0.7061826101139365,0.02871908420787145,0.6647463845071946,0.006218078054642368,0.6320842195557428,0.015663145970989605,0.541261586939981,0.009915779817597541,77.66666666666667,2.516611478423583,3,5.0
fedala_fedavg,FedALA-Full,0.8,OO,micro_pr_auc,0.6173117922527043,0.036603176495331326,0.6233409854167079,0.04026402346024144,0.6976030906041464,0.03111083925540722,0.7059961120287577,0.029639026329458494,0.6363018203095677,0.08226005703615683,0.6827332800372203,0.06830059516851451,0.6361291397227293,0.013562958687880398,0.6206132249641666,0.037160854313156536,0.5409274620498554,0.027404447022423974,79.33333333333333,1.1547005383792517,3,5.0
apple_backbone_taskhead,APPLE-Full,0.8,OO,micro_pr_auc,0.5926835299619807,0.03763058846267754,0.5953021188759934,0.040905985823913256,0.642787492275238,0.05380252153227585,0.6586147546768187,0.07274782175605299,0.6137130648895158,0.09111624482851882,0.615943425286083,0.051525294777882695,0.5828032016639656,0.038476896392810836,0.6220061599442067,0.053045318673765204,0.5420447425961956,0.010107902406044502,78.0,2.0,3,5.0
apple_ala_multi_select,APPLE-ALA,0.8,OO,micro_pr_auc,0.690566170572953,0.019046892992696046,0.7103926730801167,0.014296256612645069,0.7828946272532145,0.007405938668689227,0.7861373027165731,0.01067681599318176,0.822471321978217,0.028697071934692543,0.7937020645300207,0.032974694939335594,0.6883611923697992,0.020828947886247784,0.682203441565686,0.04928937280841295,0.5652253449568607,0.03390168344278468,75.33333333333333,2.8867513459481287,3,5.0
apple_post_ala_multi_select,APPLE-PostALA,0.8,OO,micro_pr_auc,0.7085193044492034,0.031211972168011862,0.7307850501865842,0.027423130485509935,0.8266996860504151,0.010007518250977423,0.8237193743387858,0.009755038343300448,0.844477235626851,0.008346779471403366,0.8379180121854622,0.03869282214414635,0.698730795116889,0.005813717014991459,0.6942838134011614,0.05185171270703493,0.5785153946025572,0.04347115923233712,77.33333333333333,2.8867513459481287,3,5.0
local_centralized_multi_select,Local-Centralized Upper Bound,0.8,OO,micro_pr_auc,0.8634777447796561,0.012236185208105753,0.8794960053178595,0.011949221656991698,0.9571567972501117,0.002660596648155966,0.9464934865633646,0.005953598685818128,0.9745046160846013,0.012613024783653526,0.9554841385449385,0.011446202089214534,0.8867439099553196,0.039104139102946384,0.8305906824612409,0.011791245826893903,0.7501566795431979,0.020774295044487356,,,3,1.0
