Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,45.7% ± 6.0%,41.1% ± 6.5%,48.5% ± 6.4%,49.5% ± 5.5%,41.6% ± 10.8%,44.3% ± 9.0%,42.3% ± 7.1%,40.5% ± 6.4%,36.8% ± 0.6%,—,3
FedAvg,58.0% ± 4.8%,58.8% ± 5.5%,66.1% ± 10.1%,67.9% ± 9.5%,60.9% ± 10.2%,62.5% ± 6.5%,60.0% ± 4.0%,59.5% ± 6.3%,51.1% ± 2.0%,78.0 ± 2.6,3
FedProx,59.1% ± 4.3%,59.7% ± 4.3%,72.9% ± 7.4%,75.0% ± 4.6%,60.8% ± 3.8%,64.1% ± 4.4%,61.8% ± 2.3%,59.9% ± 6.7%,52.1% ± 4.5%,77.3 ± 1.2,3
GCFL+,63.2% ± 2.2%,64.3% ± 3.1%,77.2% ± 3.0%,77.2% ± 0.9%,67.6% ± 13.1%,70.2% ± 3.6%,66.0% ± 0.6%,63.2% ± 1.8%,54.7% ± 1.7%,79.3 ± 1.2,3
FedALA-Full,61.3% ± 5.1%,61.7% ± 5.8%,68.8% ± 5.2%,70.3% ± 4.0%,64.0% ± 9.1%,67.6% ± 8.1%,61.9% ± 3.4%,61.5% ± 5.6%,53.8% ± 3.2%,78.7 ± 2.3,3
APPLE-Full,59.6% ± 4.7%,60.0% ± 5.1%,64.4% ± 6.1%,66.3% ± 8.1%,62.1% ± 10.9%,63.1% ± 6.8%,57.8% ± 3.0%,62.8% ± 6.8%,53.9% ± 0.9%,79.3 ± 1.2,3
APPLE-ALA,68.8% ± 1.8%,70.8% ± 1.4%,77.9% ± 0.4%,78.4% ± 0.7%,82.0% ± 3.3%,79.4% ± 3.4%,68.2% ± 2.0%,68.0% ± 4.8%,56.5% ± 3.5%,75.3 ± 2.9,3
APPLE-PostALA,70.3% ± 2.3%,72.2% ± 1.8%,82.3% ± 2.3%,82.7% ± 1.2%,82.5% ± 2.9%,81.5% ± 3.4%,70.0% ± 0.9%,69.1% ± 4.7%,57.9% ± 4.3%,76.0 ± 5.2,3
Local-Centralized Upper Bound,84.9% ± 0.8%,86.4% ± 0.7%,95.1% ± 0.4%,94.3% ± 0.3%,96.7% ± 0.2%,93.3% ± 0.5%,86.1% ± 2.2%,81.1% ± 0.2%,74.7% ± 1.5%,—,3
