Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,39.7% ± 0.5%,49.3% ± 0.4%,57.6% ± 1.7%,57.9% ± 2.0%,78.2% ± 2.5%,64.6% ± 2.1%,42.0% ± 1.8%,40.1% ± 0.7%,21.6% ± 0.0%,—,3
FedAvg,34.6% ± 3.9%,40.9% ± 2.9%,56.6% ± 2.5%,55.3% ± 1.4%,63.7% ± 8.7%,51.2% ± 9.0%,35.7% ± 1.7%,30.7% ± 4.7%,23.2% ± 3.7%,71.3 ± 9.0,3
FedProx,37.7% ± 1.2%,45.4% ± 1.0%,63.3% ± 5.7%,61.8% ± 5.1%,69.1% ± 8.0%,60.4% ± 2.2%,40.1% ± 2.7%,33.3% ± 2.8%,24.1% ± 2.2%,73.7 ± 4.7,3
GCFL+,35.5% ± 1.5%,41.8% ± 0.6%,61.3% ± 7.8%,62.9% ± 8.3%,56.8% ± 6.7%,60.1% ± 2.4%,34.5% ± 0.8%,34.5% ± 5.3%,23.1% ± 1.6%,74.7 ± 4.2,3
FedALA-Full,35.0% ± 2.0%,40.8% ± 1.7%,53.1% ± 2.5%,53.7% ± 1.5%,56.5% ± 4.1%,57.1% ± 5.3%,36.5% ± 2.4%,30.9% ± 1.7%,22.9% ± 2.4%,68.7 ± 7.6,3
APPLE-Full,30.1% ± 3.4%,36.1% ± 2.5%,43.9% ± 4.3%,50.1% ± 3.6%,62.6% ± 6.1%,39.9% ± 11.0%,29.0% ± 2.7%,28.2% ± 4.5%,21.0% ± 3.3%,76.7 ± 1.5,3
APPLE-ALA,39.1% ± 0.1%,48.3% ± 1.0%,63.8% ± 3.3%,62.9% ± 4.4%,74.6% ± 1.8%,63.5% ± 5.1%,45.7% ± 1.4%,35.2% ± 2.4%,22.4% ± 0.5%,72.7 ± 8.1,3
APPLE-PostALA,38.6% ± 1.6%,46.3% ± 3.2%,62.5% ± 8.7%,61.8% ± 7.4%,67.1% ± 11.5%,63.9% ± 7.8%,41.8% ± 5.4%,34.5% ± 2.1%,24.0% ± 3.6%,74.0 ± 8.7,3
Local-Centralized Upper Bound,85.3% ± 2.2%,87.7% ± 1.4%,95.7% ± 0.2%,93.7% ± 1.0%,97.5% ± 0.7%,97.7% ± 1.4%,90.6% ± 1.6%,83.0% ± 2.9%,69.7% ± 5.6%,—,3
