Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,28.3% ± 3.4%,28.6% ± 5.0%,29.5% ± 6.2%,17.4% ± 3.4%,36.8% ± 7.6%,33.5% ± 9.5%,24.6% ± 4.7%,27.0% ± 7.4%,21.2% ± 1.5%,—,3
FedAvg,23.8% ± 4.8%,24.9% ± 5.8%,33.4% ± 12.5%,25.6% ± 8.7%,26.6% ± 9.0%,29.6% ± 9.8%,25.2% ± 1.9%,24.4% ± 6.0%,18.5% ± 2.4%,74.3 ± 5.1,3
FedProx,23.4% ± 2.5%,24.2% ± 2.3%,39.2% ± 8.2%,31.4% ± 4.8%,23.6% ± 4.4%,28.4% ± 2.7%,24.8% ± 1.5%,25.1% ± 4.9%,19.0% ± 2.5%,74.0 ± 3.6,3
GCFL+,26.2% ± 1.8%,28.1% ± 3.3%,44.0% ± 5.8%,34.9% ± 2.3%,33.1% ± 14.0%,34.0% ± 4.9%,27.2% ± 2.9%,26.3% ± 1.0%,19.9% ± 0.9%,72.0 ± 12.2,3
FedALA-Full,27.0% ± 2.4%,27.5% ± 2.9%,33.8% ± 7.3%,27.8% ± 3.4%,29.2% ± 3.8%,32.4% ± 6.3%,26.2% ± 1.7%,27.1% ± 2.2%,22.6% ± 0.6%,78.3 ± 2.1,3
APPLE-Full,27.2% ± 4.0%,27.6% ± 4.5%,33.8% ± 5.4%,24.5% ± 4.9%,30.7% ± 7.3%,28.6% ± 5.9%,23.4% ± 2.0%,30.5% ± 5.8%,24.6% ± 3.1%,80.0 ± 0.0,3
APPLE-ALA,35.3% ± 1.7%,38.5% ± 0.6%,47.4% ± 3.3%,37.2% ± 3.3%,48.4% ± 0.2%,47.3% ± 1.4%,37.4% ± 4.5%,35.7% ± 2.0%,23.9% ± 3.6%,71.0 ± 2.6,3
APPLE-PostALA,38.6% ± 0.5%,41.0% ± 0.8%,51.0% ± 7.5%,40.4% ± 5.5%,53.7% ± 3.4%,52.5% ± 4.0%,36.5% ± 4.1%,36.1% ± 2.2%,26.2% ± 2.0%,71.7 ± 3.8,3
Local-Centralized Upper Bound,87.5% ± 0.8%,89.1% ± 0.6%,95.2% ± 0.5%,93.7% ± 0.1%,97.8% ± 1.3%,96.0% ± 0.5%,92.4% ± 1.2%,84.3% ± 1.7%,74.9% ± 1.6%,—,3
