Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,75.6% ± 0.8%,78.9% ± 0.8%,85.3% ± 1.0%,83.0% ± 1.2%,93.6% ± 0.9%,88.8% ± 1.1%,79.3% ± 2.4%,76.4% ± 0.4%,56.2% ± 0.6%,—,3
FedAvg,72.6% ± 2.4%,75.1% ± 1.9%,85.4% ± 0.3%,83.3% ± 0.5%,89.5% ± 3.5%,83.0% ± 3.9%,73.7% ± 1.6%,69.4% ± 3.2%,60.1% ± 3.3%,75.7 ± 1.5,3
FedProx,75.1% ± 0.7%,77.7% ± 0.3%,87.7% ± 2.4%,85.5% ± 1.7%,91.6% ± 3.0%,87.5% ± 1.7%,77.0% ± 1.4%,71.2% ± 1.8%,61.4% ± 2.4%,73.7 ± 4.7,3
GCFL+,73.0% ± 1.4%,75.6% ± 0.7%,86.5% ± 3.6%,85.6% ± 4.3%,86.3% ± 4.2%,87.5% ± 1.4%,72.6% ± 0.8%,71.9% ± 4.7%,59.6% ± 2.5%,74.7 ± 4.2,3
FedALA-Full,72.4% ± 1.7%,74.8% ± 1.4%,82.9% ± 1.2%,81.8% ± 1.2%,87.3% ± 1.7%,85.3% ± 3.7%,72.2% ± 0.7%,69.9% ± 2.0%,59.3% ± 3.0%,67.0 ± 0.0,3
APPLE-Full,69.2% ± 2.8%,71.5% ± 2.4%,79.8% ± 2.2%,79.8% ± 1.8%,87.3% ± 1.5%,77.4% ± 4.1%,67.8% ± 2.1%,66.5% ± 4.5%,58.4% ± 3.3%,76.7 ± 2.3,3
APPLE-ALA,75.1% ± 0.4%,78.4% ± 0.3%,86.9% ± 1.3%,84.9% ± 1.9%,92.3% ± 1.7%,89.6% ± 1.8%,81.0% ± 0.9%,71.5% ± 1.7%,57.6% ± 0.7%,75.0 ± 4.6,3
APPLE-PostALA,75.9% ± 0.7%,78.4% ± 1.3%,87.1% ± 3.8%,85.7% ± 3.1%,89.8% ± 1.4%,88.9% ± 2.5%,78.9% ± 3.8%,73.6% ± 1.4%,60.9% ± 2.9%,70.3 ± 9.3,3
Local-Centralized Upper Bound,85.6% ± 1.8%,87.8% ± 1.0%,95.5% ± 0.1%,94.4% ± 0.7%,97.0% ± 1.9%,96.0% ± 0.8%,90.2% ± 3.3%,85.1% ± 2.1%,70.4% ± 5.8%,—,3
