Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,41.0% ± 6.9%,37.2% ± 6.0%,41.1% ± 8.2%,43.9% ± 7.0%,36.4% ± 7.8%,39.2% ± 8.9%,38.9% ± 7.4%,37.8% ± 8.8%,33.6% ± 3.0%,—,3
FedAvg,57.9% ± 5.5%,58.7% ± 6.1%,67.0% ± 10.8%,67.6% ± 10.0%,58.4% ± 9.9%,64.3% ± 10.2%,61.3% ± 3.4%,58.7% ± 5.5%,50.7% ± 2.6%,71.7 ± 11.0,3
FedProx,57.8% ± 3.4%,58.4% ± 3.3%,73.1% ± 6.2%,73.7% ± 6.5%,58.4% ± 3.2%,64.0% ± 2.4%,59.9% ± 1.7%,58.3% ± 6.6%,51.3% ± 3.5%,74.0 ± 5.6,3
GCFL+,62.7% ± 3.0%,63.9% ± 3.9%,77.1% ± 2.7%,76.8% ± 1.2%,66.5% ± 14.6%,71.2% ± 3.9%,64.1% ± 3.2%,63.5% ± 3.2%,54.1% ± 1.0%,72.7 ± 7.5,3
FedALA-Full,61.0% ± 4.8%,61.5% ± 5.4%,68.2% ± 5.0%,69.7% ± 4.0%,63.6% ± 8.3%,67.4% ± 7.6%,61.6% ± 3.1%,60.8% ± 5.0%,54.0% ± 3.3%,78.7 ± 2.3,3
APPLE-Full,59.0% ± 4.3%,59.0% ± 4.6%,63.6% ± 5.6%,65.2% ± 7.1%,58.1% ± 9.7%,58.8% ± 3.5%,58.7% ± 4.1%,63.7% ± 5.4%,55.7% ± 1.9%,77.7 ± 3.2,3
APPLE-ALA,67.3% ± 2.2%,68.9% ± 2.1%,76.6% ± 1.3%,77.6% ± 1.1%,77.3% ± 4.4%,74.8% ± 5.9%,69.7% ± 3.1%,67.0% ± 1.3%,55.7% ± 4.2%,73.7 ± 6.7,3
APPLE-PostALA,71.3% ± 1.8%,73.1% ± 1.7%,81.4% ± 2.5%,81.0% ± 1.8%,82.7% ± 3.7%,81.5% ± 1.4%,72.3% ± 4.7%,70.0% ± 2.1%,58.8% ± 3.8%,70.0 ± 6.6,3
Local-Centralized Upper Bound,84.4% ± 2.1%,86.2% ± 1.7%,95.3% ± 0.4%,94.2% ± 0.7%,97.4% ± 0.2%,94.7% ± 0.1%,86.3% ± 4.8%,79.1% ± 2.4%,73.6% ± 3.6%,—,3
