Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,43.7% ± 6.8%,44.9% ± 8.1%,41.2% ± 8.3%,42.7% ± 7.9%,50.6% ± 12.2%,48.4% ± 11.1%,45.8% ± 9.9%,43.2% ± 7.9%,36.7% ± 4.7%,—,3
FedAvg,60.5% ± 5.7%,61.2% ± 6.0%,66.8% ± 9.4%,67.1% ± 9.0%,61.4% ± 6.1%,67.1% ± 10.6%,62.5% ± 2.0%,61.9% ± 7.8%,53.2% ± 4.0%,74.0 ± 5.3,3
FedProx,60.6% ± 3.2%,61.3% ± 3.0%,72.2% ± 6.6%,74.9% ± 4.6%,60.8% ± 6.3%,66.7% ± 3.1%,62.4% ± 2.0%,62.7% ± 6.5%,53.9% ± 3.8%,74.0 ± 3.6,3
GCFL+,63.4% ± 2.1%,64.6% ± 3.0%,76.2% ± 4.3%,76.6% ± 1.5%,68.8% ± 12.1%,71.6% ± 5.2%,64.6% ± 3.0%,63.6% ± 1.3%,54.5% ± 1.1%,72.0 ± 12.2,3
FedALA-Full,62.1% ± 2.4%,62.6% ± 2.7%,67.9% ± 3.5%,69.6% ± 3.2%,64.1% ± 4.7%,69.0% ± 6.2%,62.4% ± 0.6%,63.3% ± 2.7%,54.4% ± 1.6%,78.0 ± 2.6,3
APPLE-Full,60.1% ± 4.5%,60.5% ± 5.0%,63.7% ± 5.6%,65.4% ± 7.3%,63.0% ± 11.1%,62.3% ± 6.5%,58.8% ± 3.0%,63.5% ± 5.8%,54.8% ± 2.2%,80.0 ± 0.0,3
APPLE-ALA,69.4% ± 2.3%,71.2% ± 1.6%,78.3% ± 1.4%,78.6% ± 0.9%,79.3% ± 2.8%,79.1% ± 4.8%,71.2% ± 3.5%,69.6% ± 3.4%,56.7% ± 5.1%,72.7 ± 0.6,3
APPLE-PostALA,71.6% ± 0.4%,72.9% ± 0.7%,80.2% ± 1.9%,80.5% ± 0.8%,83.0% ± 0.8%,82.5% ± 2.6%,68.9% ± 4.7%,71.5% ± 1.5%,58.8% ± 1.9%,73.3 ± 3.8,3
Local-Centralized Upper Bound,87.1% ± 0.7%,88.6% ± 0.4%,94.8% ± 0.6%,93.6% ± 0.7%,96.9% ± 1.2%,95.6% ± 1.4%,91.4% ± 1.8%,84.6% ± 1.7%,74.7% ± 1.3%,—,3
