Method,Micro-F1,Macro Pos-F1,Micro PR-AUC,Macro PR-AUC,cycle2 pos-F1,cycle3 pos-F1,cycle4 pos-F1,cycle5 pos-F1,cycle6 pos-F1,Sel. round,n
Fully Local,36.8% ± 2.2%,45.0% ± 3.7%,57.9% ± 4.0%,56.7% ± 3.1%,72.5% ± 5.3%,56.2% ± 9.0%,39.2% ± 2.2%,36.8% ± 2.8%,20.5% ± 0.5%,—,3
FedAvg,32.8% ± 4.7%,39.5% ± 4.2%,58.1% ± 1.3%,57.5% ± 1.3%,63.0% ± 9.9%,50.5% ± 9.8%,32.5% ± 5.9%,29.6% ± 4.8%,21.8% ± 3.5%,74.7 ± 4.0,3
FedProx,36.3% ± 1.7%,44.4% ± 2.9%,65.5% ± 7.2%,63.4% ± 6.3%,68.1% ± 10.7%,60.7% ± 2.2%,38.2% ± 4.4%,32.4% ± 2.8%,22.8% ± 1.6%,67.7 ± 9.3,3
GCFL+,34.8% ± 1.3%,40.6% ± 1.8%,62.0% ± 6.4%,61.6% ± 7.5%,55.7% ± 11.9%,56.5% ± 2.3%,34.7% ± 2.7%,33.1% ± 4.5%,22.9% ± 1.1%,72.0 ± 10.6,3
FedALA-Full,34.6% ± 2.7%,39.6% ± 1.6%,53.6% ± 1.9%,54.0% ± 1.7%,54.8% ± 1.2%,53.0% ± 3.1%,34.9% ± 1.9%,32.1% ± 3.9%,23.4% ± 3.7%,67.7 ± 6.7,3
APPLE-Full,32.1% ± 2.1%,36.2% ± 2.0%,50.5% ± 2.1%,52.4% ± 1.4%,58.1% ± 2.0%,37.4% ± 8.2%,32.6% ± 1.6%,29.7% ± 2.5%,23.3% ± 1.5%,70.3 ± 13.3,3
APPLE-ALA,36.0% ± 2.7%,45.5% ± 2.1%,65.6% ± 4.5%,65.3% ± 5.6%,73.0% ± 5.7%,60.2% ± 1.4%,42.1% ± 4.2%,31.7% ± 3.5%,20.3% ± 2.5%,79.0 ± 1.0,3
APPLE-PostALA,37.2% ± 1.0%,43.7% ± 1.0%,62.6% ± 6.7%,62.6% ± 6.6%,60.5% ± 4.4%,57.7% ± 2.4%,41.9% ± 4.4%,35.8% ± 0.5%,22.5% ± 3.4%,73.7 ± 2.5,3
Local-Centralized Upper Bound,84.5% ± 1.3%,86.8% ± 1.0%,94.8% ± 0.6%,93.4% ± 1.2%,97.9% ± 0.1%,95.8% ± 2.3%,88.5% ± 0.8%,82.4% ± 4.3%,69.5% ± 3.4%,—,3
