run_type,algorithm,subset_id,subset_clients,graph_id,dataset_id,num_clients,client_fraction,out_csv,ckpt_path,rounds,local_epochs,selection_metric,mcw,num_layers,lr,weight_decay,dropout,hidden_dim,use_ego_ids,batch_size,seed,model_tag,gamma
fedavg,fedavg,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117,all,data_4200_4_3.5_chordal_rep02|data_4000_4_3.5_chordal_rep00|data_4200_4_3.5_chordal_rep00|data_3800_4_3.5_chordal_rep03|data_4200_4_3.0_chordal_rep02|data_4200_4_3.0_chordal_rep03|data_4200_4_3.0_chordal_rep00|data_4000_4_3.0_chordal_rep03|data_4000_4_4.0_chordal_rep01|data_4000_4_4.0_chordal_rep03|data_3800_4_4.0_chordal_rep02|data_3800_4_5.0_chordal_rep01|data_3800_4_2.5_chordal_rep00|data_4200_4_2.0_chordal_rep02|data_3800_4_2.5_chordal_rep02|data_3800_4_1.5_chordal_rep02|data_3800_4_6.5_chordal_rep00|data_3800_4_6.0_chordal_rep02|data_4200_4_7.0_chordal_rep00|data_4000_4_6.0_chordal_rep01,20,1.0,andrea/runs/fedavg178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg178|96|176|19|174|175|172|95|101|103|22|29|8|166|10|2|40|38|204|117_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.07
fedavg,fedavg,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60,all,data_4200_4_3.5_chordal_rep02|data_4000_4_3.5_chordal_rep00|data_3800_4_3.5_chordal_rep03|data_4200_4_3.5_chordal_rep00|data_4200_4_2.5_chordal_rep03|data_4000_4_2.5_chordal_rep01|data_4000_4_2.5_chordal_rep02|data_3800_4_2.5_chordal_rep03|data_4200_4_5.0_chordal_rep02|data_4000_4_5.0_chordal_rep01|data_3800_4_4.5_chordal_rep00|data_3800_4_5.0_chordal_rep02|data_4200_4_2.0_chordal_rep02|data_3800_4_2.0_chordal_rep01|data_3800_4_1.5_chordal_rep02|data_4200_4_1.5_chordal_rep02|data_3800_4_9_chordal_rep02|data_4200_4_8.5_chordal_rep01|data_4000_4_9.5_chordal_rep01|data_3800_4_9_chordal_rep00,20,1.0,andrea/runs/fedavg178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg178|96|19|176|171|89|90|11|190|109|24|30|166|5|2|162|62|217|145|60_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.14
fedavg,fedavg,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159,all,data_4200_4_3.5_chordal_rep02|data_4000_4_3.5_chordal_rep00|data_3800_4_3.5_chordal_rep01|data_3800_4_3.5_chordal_rep02|data_4200_4_2.5_chordal_rep03|data_4200_4_2.5_chordal_rep01|data_4000_4_2.5_chordal_rep03|data_3800_4_2.5_chordal_rep03|data_4200_4_5.5_chordal_rep00|data_3800_4_5.5_chordal_rep01|data_4000_4_5.0_chordal_rep03|data_4200_4_6.0_chordal_rep00|data_3800_4_1.5_chordal_rep02|data_4200_4_1.5_chordal_rep02|data_4000_4_1.5_chordal_rep02|data_3800_4_1.5_chordal_rep03|data_4000_4_10.5_chordal_rep01|data_3800_4_10_chordal_rep00|data_4200_4_8.5_chordal_rep03|data_4000_4_11_chordal_rep03,20,1.0,andrea/runs/fedavg178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg178|96|17|18|171|169|91|11|192|33|111|196|2|162|82|3|153|68|219|159_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.21
