split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,2462,2340,2254,2110,1866,4610,2345
val,2496,2489,2367,2187,1905,4676,2303
test,2532,2436,2287,2016,1734,4703,2321
