method,q,seed,graph_id,schema,source_csv,eval_loss,macro_f1,macro_minority_f1,macro_pos_f1,macro_pr_auc,micro_f1,micro_pr_auc,pair_acc,subset_acc
Fully Local,0.2,1,4000017,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_eef2bb200e_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.2022806770381518,0.1586459726095199,0.1586459726095199,0.1586459726095199,0.1711672842502594,0.1625794732061762,0.161034345626831,0.7961980548187445,0.6422845691382766
Fully Local,0.2,2,4000017,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q02/subset_eef2bb200e_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.527074429530166,0.2888650298118591,0.2888650298118591,0.2888650298118591,0.318442165851593,0.2336719883889695,0.2165119796991348,0.883289124668435,0.7064128256513026
Fully Local,0.5,0,4000031,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_00138ebb7b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,6.126263698514434,0.2918302118778229,0.2918302118778229,0.2918302118778229,0.2577192783355713,0.3887915936952715,0.3269822001457214,0.9601051668952904,0.8543543543543544
Fully Local,0.5,1,4000031,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_00138ebb7b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.8607033410462605,0.3400605618953705,0.3400605618953705,0.3400605618953705,0.4255320429801941,0.3342696629213483,0.3580299913883209,0.8916323731138546,0.7062062062062062
Fully Local,0.5,2,4000031,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_00138ebb7b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,4.857075342943421,0.3005463480949402,0.3005463480949402,0.3005463480949402,0.2502298951148987,0.3655913978494623,0.2954686880111694,0.9527892089620484,0.8303303303303303
Fully Local,0.5,0,4000026,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_074c3f4a19_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.7514658057264364,0.0756218433380127,0.0756218433380127,0.0756218433380127,0.1440818011760711,0.0785571142284569,0.1265114992856979,0.7598203092352696,0.6948474237118559
Fully Local,0.5,1,4000026,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_074c3f4a19_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.7028229907824437,0.0785916745662689,0.0785916745662689,0.0785916745662689,0.1537037640810012,0.0767739433889104,0.0968106314539909,0.7512536564981195,0.6803401700850426
Fully Local,0.5,2,4000026,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_074c3f4a19_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.6484227938662377,0.0991283729672432,0.0991283729672432,0.0991283729672432,0.1034181714057922,0.1262458471760797,0.0781745016574859,0.8900961136648559,0.743871935967984
Fully Local,0.5,0,4000033,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1197f7190e_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.9396796069111554,0.1550659835338592,0.1550659835338592,0.1550659835338592,0.1833156645298004,0.1644236395552955,0.1646787077188491,0.6749374004097428,0.5454089312594079
Fully Local,0.5,1,4000033,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1197f7190e_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.2039164334854449,0.2896879613399505,0.2896879613399505,0.2896879613399505,0.293998658657074,0.3061497326203208,0.2889498770236969,0.8818575005690872,0.6889111891620673
Fully Local,0.5,2,4000033,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1197f7190e_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,0.8946313515980532,0.1459849327802658,0.1459849327802658,0.1459849327802658,0.1737820357084274,0.155467720685112,0.1832247972488403,0.6352151149556112,0.5082789764174611
Fully Local,0.5,0,4000036,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1b56c34c37_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.1316462555530655,0.0954970121383667,0.0954970121383667,0.0954970121383667,0.1556463837623596,0.0978029766123316,0.149009421467781,0.5769358590893985,0.4468937875751503
Fully Local,0.5,1,4000036,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1b56c34c37_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.3202208727251536,0.1006814613938331,0.1006814613938331,0.1006814613938331,0.1301250606775283,0.1063105525006546,0.1399891227483749,0.6219120416528193,0.4939879759519038
Fully Local,0.5,2,4000036,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_1b56c34c37_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.088785044851395,0.1209048777818679,0.1209048777818679,0.1209048777818679,0.1612495183944702,0.1254792610665737,0.1490865349769592,0.7220560540600421,0.5771543086172345
Fully Local,0.5,0,4000035,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_238d77c6bb_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.4668204770051274,0.312543511390686,0.312543511390686,0.312543511390686,0.3054041266441345,0.3060109289617486,0.4271224439144134,0.9295071047957372,0.783391695847924
Fully Local,0.5,1,4000035,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_238d77c6bb_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.4953463944882737,0.3473600149154663,0.3473600149154663,0.3473600149154663,0.3133539259433746,0.3317191283292978,0.4535117745399475,0.938721136767318,0.8019009504752376
Fully Local,0.5,2,4000035,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_238d77c6bb_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,0.7933183378038753,0.3290728628635406,0.3290728628635406,0.3290728628635406,0.3420651853084564,0.2527392257121986,0.4435587227344513,0.8864342806394316,0.6683341670835418
Fully Local,0.5,0,4000030,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_3eda3d92ee_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.5131032925893917,0.2799896597862243,0.2799896597862243,0.2799896597862243,0.3166609704494476,0.3022743947175348,0.4566948115825653,0.8913267055193692,0.7185778668002003
Fully Local,0.5,1,4000030,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_3eda3d92ee_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,0.8420709855773628,0.3192457258701324,0.3192457258701324,0.3192457258701324,0.370583176612854,0.2847222222222222,0.4854305684566498,0.8587589989715461,0.658487731597396
Fully Local,0.5,2,4000030,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_3eda3d92ee_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,2.02834027258754,0.3115599155426025,0.3115599155426025,0.3115599155426025,0.293789654970169,0.320278503046127,0.3975601494312286,0.9107530567935092,0.7411116675012519
Fully Local,0.5,0,4000023,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_40d11eae84_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.0421019578634911,0.1275505274534225,0.1275505274534225,0.1275505274534225,0.1359909921884536,0.1460481099656357,0.1233361214399337,0.7862825198881961,0.6731731731731732
Fully Local,0.5,1,4000023,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_40d11eae84_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.2726281918625348,0.0903452187776565,0.0903452187776565,0.0903452187776565,0.1775426864624023,0.0950281655645358,0.175186350941658,0.6027735970758976,0.5365365365365365
Fully Local,0.5,2,4000023,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_40d11eae84_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.6026866801116728,0.0859606117010116,0.0859606117010116,0.0859606117010116,0.1745145320892334,0.0905907074480504,0.1352164596319198,0.5812728445495592,0.514014014014014
Fully Local,0.5,0,4000020,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_42d3b04ba4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.9604669273978448,0.2987622022628784,0.2987622022628784,0.2987622022628784,0.3529059886932373,0.2937062937062937,0.2449487745761871,0.9347123464770524,0.7837837837837838
Fully Local,0.5,1,4000020,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_42d3b04ba4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,6.014674586756646,0.1732416450977325,0.1732416450977325,0.1732416450977325,0.1501937955617904,0.2642642642642642,0.1865817755460739,0.947209653092006,0.8228228228228228
Fully Local,0.5,2,4000020,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_42d3b04ba4_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,2.9242167092299467,0.1701776087284088,0.1701776087284088,0.1701776087284088,0.1569440960884094,0.1903199343724364,0.1214680597186088,0.8936651583710408,0.7197197197197197
Fully Local,0.5,0,4000024,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_58a435f33c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,1.0075095461378356,0.1136722564697265,0.1136722564697265,0.1136722564697265,0.1701345592737198,0.1177664974619289,0.1042280122637748,0.7195869635366248,0.6278139069534767
Fully Local,0.5,1,4000024,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_58a435f33c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.7501877339165532,0.0896776542067527,0.0896776542067527,0.0896776542067527,0.1198005899786949,0.1059602649006622,0.0724473297595977,0.6950629235237173,0.5207603801900951
Fully Local,0.5,2,4000024,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_58a435f33c_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.3064723955286028,0.0972702056169509,0.0972702056169509,0.0972702056169509,0.1289475858211517,0.1074168797953964,0.0782950446009635,0.6996880714208885,0.5707853926963482
Fully Local,0.5,0,4000034,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_84ebe2c82b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.9816583461561332,0.15205679833889,0.15205679833889,0.15205679833889,0.1896096467971801,0.168295589988081,0.2235576957464218,0.6052720896028962,0.4897139989964877
Fully Local,0.5,1,4000034,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_84ebe2c82b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed1.csv,1.143843463453344,0.1464399099349975,0.1464399099349975,0.1464399099349975,0.2023067027330398,0.1698019801980198,0.1737720668315887,0.6205453105554927,0.4520822880080281
Fully Local,0.5,2,4000034,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_84ebe2c82b_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed2.csv,1.545416967437769,0.2043604850769043,0.2043604850769043,0.2043604850769043,0.1986003220081329,0.2577777777777778,0.1567762345075607,0.8299581400610929,0.6818866031108881
Fully Local,0.5,0,4000037,phase_selector,/Users/andreali/Documents/Subgraph_Federated_Learning/andrea/runs_twenty_client_fully_local_q05/subset_86b24210a1_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_headmulti_selmultiselect_loss_micro_f1_macro_pos_f1_micro_pr_auc_macro_pr_auc_multiselect_seed0.csv,0.9262989100184694,0.1277449131011963,0.1277449131011963,0.1277449131011963,0.1492902487516403,0.1299397186872069,0.135092407464981,0.7123879109930256,0.6146146146146146
