split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,1249,1570,2043,2583,3152,3797,1871
val,1303,1519,1894,2252,2723,3781,1774
test,1336,1491,1790,2252,2791,3881,2002
