split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,2060,3059,4967,8010,12749,9727,4873
val,2128,3097,4938,7891,12546,9883,5035
test,2062,3065,4818,7779,12471,9624,4905
