graph_id,dataset_id,data_dir,n,d,r,type,rep,seed_train,seed_val,seed_test,train_num_nodes,train_num_edges_raw,train_num_edges_unique,train_density_raw,train_density_unique,train_duplicate_edge_fraction,train_reciprocity_unique,train_mean_in_degree_raw,train_mean_out_degree_raw,train_std_in_degree_raw,train_std_out_degree_raw,train_max_in_degree_raw,train_max_out_degree_raw,train_mean_in_degree_unique,train_mean_out_degree_unique,train_std_in_degree_unique,train_std_out_degree_unique,train_max_in_degree_unique,train_max_out_degree_unique,train_cycle2_motif_count,train_cycle2_pos_nodes,train_cycle2_pos_rate,train_cycle2_all_zero,train_cycle3_motif_count,train_cycle3_pos_nodes,train_cycle3_pos_rate,train_cycle3_all_zero,train_cycle4_motif_count,train_cycle4_pos_nodes,train_cycle4_pos_rate,train_cycle4_all_zero,train_cycle5_motif_count,train_cycle5_pos_nodes,train_cycle5_pos_rate,train_cycle5_all_zero,train_cycle6_motif_count,train_cycle6_pos_nodes,train_cycle6_pos_rate,train_cycle6_all_zero,val_num_nodes,val_num_edges_raw,val_num_edges_unique,val_density_raw,val_density_unique,val_duplicate_edge_fraction,val_reciprocity_unique,val_mean_in_degree_raw,val_mean_out_degree_raw,val_std_in_degree_raw,val_std_out_degree_raw,val_max_in_degree_raw,val_max_out_degree_raw,val_mean_in_degree_unique,val_mean_out_degree_unique,val_std_in_degree_unique,val_std_out_degree_unique,val_max_in_degree_unique,val_max_out_degree_unique,val_cycle2_motif_count,val_cycle2_pos_nodes,val_cycle2_pos_rate,val_cycle2_all_zero,val_cycle3_motif_count,val_cycle3_pos_nodes,val_cycle3_pos_rate,val_cycle3_all_zero,val_cycle4_motif_count,val_cycle4_pos_nodes,val_cycle4_pos_rate,val_cycle4_all_zero,val_cycle5_motif_count,val_cycle5_pos_nodes,val_cycle5_pos_rate,val_cycle5_all_zero,val_cycle6_motif_count,val_cycle6_pos_nodes,val_cycle6_pos_rate,val_cycle6_all_zero,test_num_nodes,test_num_edges_raw,test_num_edges_unique,test_density_raw,test_density_unique,test_duplicate_edge_fraction,test_reciprocity_unique,test_mean_in_degree_raw,test_mean_out_degree_raw,test_std_in_degree_raw,test_std_out_degree_raw,test_max_in_degree_raw,test_max_out_degree_raw,test_mean_in_degree_unique,test_mean_out_degree_unique,test_std_in_degree_unique,test_std_out_degree_unique,test_max_in_degree_unique,test_max_out_degree_unique,test_cycle2_motif_count,test_cycle2_pos_nodes,test_cycle2_pos_rate,test_cycle2_all_zero,test_cycle3_motif_count,test_cycle3_pos_nodes,test_cycle3_pos_rate,test_cycle3_all_zero,test_cycle4_motif_count,test_cycle4_pos_nodes,test_cycle4_pos_rate,test_cycle4_all_zero,test_cycle5_motif_count,test_cycle5_pos_nodes,test_cycle5_pos_rate,test_cycle5_all_zero,test_cycle6_motif_count,test_cycle6_pos_nodes,test_cycle6_pos_rate,test_cycle6_all_zero,cycle2_pos_nodes_mean,cycle2_pos_nodes_std,cycle2_pos_nodes_max_diff_from_mean,cycle2_pos_rate_mean,cycle2_pos_rate_std,cycle2_pos_rate_max_diff_from_mean,cycle2_all_splits_have_pos,cycle2_motif_count_mean,cycle2_motif_count_std,cycle3_pos_nodes_mean,cycle3_pos_nodes_std,cycle3_pos_nodes_max_diff_from_mean,cycle3_pos_rate_mean,cycle3_pos_rate_std,cycle3_pos_rate_max_diff_from_mean,cycle3_all_splits_have_pos,cycle3_motif_count_mean,cycle3_motif_count_std,cycle4_pos_nodes_mean,cycle4_pos_nodes_std,cycle4_pos_nodes_max_diff_from_mean,cycle4_pos_rate_mean,cycle4_pos_rate_std,cycle4_pos_rate_max_diff_from_mean,cycle4_all_splits_have_pos,cycle4_motif_count_mean,cycle4_motif_count_std,cycle5_pos_nodes_mean,cycle5_pos_nodes_std,cycle5_pos_nodes_max_diff_from_mean,cycle5_pos_rate_mean,cycle5_pos_rate_std,cycle5_pos_rate_max_diff_from_mean,cycle5_all_splits_have_pos,cycle5_motif_count_mean,cycle5_motif_count_std,cycle6_pos_nodes_mean,cycle6_pos_nodes_std,cycle6_pos_nodes_max_diff_from_mean,cycle6_pos_rate_mean,cycle6_pos_rate_std,cycle6_pos_rate_max_diff_from_mean,cycle6_all_splits_have_pos,cycle6_motif_count_mean,cycle6_motif_count_std
0,data_3800_4_1.5_chordal_rep00,./andrea/cluster_data_rep/data_3800_4_1.5_chordal_rep00,3800,4,1.5,chordal,0,218912273,1067932884,1160757033,3800,7600,6179,0.0005264543300868649,0.0004280212244219393,0.1869736842105263,0.3324162485839133,2.0,2.0,1.4197850096702,1.4097405509712175,9,8,1.6260526315789474,1.6260526315789474,1.0520182094523793,1.0399418998793413,6,5,1027,1720,0.45263157894736844,0,561,1278,0.33631578947368423,0,260,777,0.2044736842105263,0,130,480,0.12631578947368421,0,66,308,0.08105263157894736,0,3800,7600,6166,0.0005264543300868649,0.0004271207104362644,0.1886842105263158,0.3337658125202725,2.0,2.0,1.4179302929937965,1.4177446878757824,8,9,1.6226315789473684,1.6226315789473684,1.044894062146031,1.0398448371360796,6,6,1029,1689,0.4444736842105263,0,554,1272,0.33473684210526317,0,281,832,0.21894736842105264,0,135,504,0.13263157894736843,0,62,292,0.07684210526315789,0,3800,7600,6209,0.0005264543300868649,0.0004300993336196506,0.1830263157894737,0.3246899661781285,2.0,2.0,1.4031918501833784,1.4030042953004738,9,9,1.6339473684210526,1.6339473684210526,1.0381943826554278,1.0359105820832326,6,5,1008,1665,0.4381578947368421,0,540,1252,0.3294736842105263,0,272,840,0.22105263157894736,0,121,460,0.12105263157894737,0,46,236,0.06210526315789474,0,1691.3333333333333,22.51419305435771,28.666666666666742,0.4450877192982456,0.005924787645883627,0.007543859649122853,1,1021.3333333333334,9.46337971105226,1267.3333333333333,11.115554667022044,15.333333333333258,0.3335087719298246,0.0029251459650058136,0.00403508771929828,1,551.6666666666666,8.73053390247253,816.3333333333334,28.003967972810962,39.33333333333337,0.21482456140350878,0.0073694652560028885,0.010350877192982472,1,271.0,8.602325267042627,481.3333333333333,17.987650084309387,22.666666666666686,0.12666666666666668,0.004733592127449844,0.005964912280701756,1,128.66666666666666,5.792715732327588,278.6666666666667,30.868898407440604,42.666666666666686,0.07333333333333333,0.008123394317747522,0.011228070175438594,1,58.0,8.640987597877148
1,data_3800_4_1.5_chordal_rep01,./andrea/cluster_data_rep/data_3800_4_1.5_chordal_rep01,3800,4,1.5,chordal,1,11478463,227808753,1260282480,3800,7600,6178,0.0005264543300868649,0.00042795195411534894,0.18710526315789477,0.34185820653933313,2.0,2.0,1.4136552099545274,1.4171877266726447,9,9,1.6257894736842105,1.6257894736842105,1.0298023100498142,1.0527998549705633,6,6,1056,1745,0.45921052631578946,0,564,1267,0.33342105263157895,0,270,820,0.21578947368421053,0,116,440,0.11578947368421053,0,58,270,0.07105263157894737,0,3800,7600,6194,0.0005264543300868649,0.00042906027902079496,0.18500000000000005,0.3306425573135292,2.0,2.0,1.4449549255399303,1.4031918501833784,10,8,1.63,1.63,1.0750495704605294,1.0572780344380863,6,6,1024,1689,0.4444736842105263,0,527,1191,0.31342105263157893,0,273,799,0.21026315789473685,0,135,457,0.12026315789473684,0,64,276,0.07263157894736842,0,3800,7600,6172,0.0005264543300868649,0.00042753633227580665,0.18789473684210523,0.31561892417368764,2.0,2.0,1.4214521855445836,1.419228849169784,9,9,1.6242105263157895,1.6242105263157895,1.0345826302604182,1.057476219911668,6,6,974,1622,0.4268421052631579,0,520,1210,0.31842105263157894,0,260,793,0.20868421052631578,0,126,473,0.12447368421052632,0,67,309,0.08131578947368422,0,1685.3333333333333,50.28143019268865,63.33333333333326,0.4435087719298245,0.013231955313865422,0.016666666666666607,1,1018.0,33.7441352929167,1222.6666666666667,32.293790252754306,44.33333333333326,0.3217543859649123,0.008498365855987981,0.011666666666666659,1,537.0,19.30457631409368,804.0,11.575836902790225,16.0,0.21157894736842106,0.003046272869155328,0.00421052631578947,1,267.6666666666667,5.557777333511022,456.6666666666667,13.474255287605157,16.666666666666686,0.12017543859649123,0.003545856654632938,0.0043859649122807015,1,125.66666666666667,7.760297817881877,285.0,17.146428199482248,24.0,0.07500000000000001,0.004512217947232173,0.006315789473684205,1,63.0,3.7416573867739413
2,data_3800_4_1.5_chordal_rep02,./andrea/cluster_data_rep/data_3800_4_1.5_chordal_rep02,3800,4,1.5,chordal,2,2094541769,705960397,1627634642,3800,7600,6211,0.0005264543300868649,0.00043023787423283134,0.18276315789473685,0.32426340363870554,2.0,2.0,1.4205262182874716,1.3984954321284753,9,8,1.6344736842105263,1.6344736842105263,1.0529762264733262,1.0474635965748809,6,5,1007,1688,0.4442105263157895,0,572,1274,0.3352631578947368,0,290,836,0.22,0,146,539,0.1418421052631579,0,82,331,0.08710526315789474,0,3800,7600,6252,0.0005264543300868649,0.0004330779568030368,0.17736842105263162,0.3352527191298784,2.0,2.0,1.392271903268747,1.4136552099545274,10,10,1.6452631578947368,1.6452631578947368,1.0422413520922493,1.0480325849748064,6,6,1048,1738,0.4573684210526316,0,584,1304,0.3431578947368421,0,304,895,0.2355263157894737,0,148,520,0.1368421052631579,0,70,303,0.07973684210526316,0,3800,7600,6229,0.0005264543300868649,0.00043148473975145816,0.18039473684210527,0.3313533472467491,2.0,2.0,1.4074987145922895,1.394538218230416,8,8,1.6392105263157895,1.6392105263157895,1.0625636366799212,1.034962195035333,5,5,1032,1696,0.4463157894736842,0,607,1376,0.36210526315789476,0,294,864,0.22736842105263158,0,127,489,0.1286842105263158,0,57,274,0.07210526315789474,0,1707.3333333333333,21.9291789378647,30.666666666666742,0.4492982456140351,0.00577083656259597,0.008070175438596505,1,1029.0,16.87206764645835,1318.0,42.80186911806539,58.0,0.3468421052631579,0.011263649767911965,0.015263157894736867,1,587.6666666666666,14.522013940527977,865.0,24.097026095903757,30.0,0.2276315789473684,0.006341322656816782,0.007894736842105288,1,296.0,5.887840577551898,516.0,20.607442021431645,27.0,0.13578947368421054,0.00542301105827149,0.007105263157894753,1,140.33333333333334,9.463379711052259,302.6666666666667,23.27134623427608,28.666666666666686,0.07964912280701754,0.006124038482704232,0.007543859649122797,1,69.66666666666667,10.208928554075703
3,data_3800_4_1.5_chordal_rep03,./andrea/cluster_data_rep/data_3800_4_1.5_chordal_rep03,3800,4,1.5,chordal,3,1441143981,129250449,1601165487,3800,7600,6168,0.0005264543300868649,0.00042725925104944516,0.18842105263157893,0.32911802853437094,2.0,2.0,1.4103004532442909,1.4018784390576584,9,9,1.6231578947368421,1.6231578947368421,1.0425628979212158,1.019076220648046,5,6,1015,1677,0.4413157894736842,0,579,1316,0.3463157894736842,0,298,887,0.23342105263157895,0,135,504,0.13263157894736843,0,61,271,0.07131578947368421,0,3800,7600,6235,0.0005264543300868649,0.0004319003615910004,0.1796052631578947,0.3226944667201283,2.0,2.0,1.4229324798124692,1.3909481809561646,8,10,1.6407894736842106,1.6407894736842106,1.0596272472181392,1.0319472691009877,5,6,1006,1660,0.4368421052631579,0,602,1314,0.34578947368421054,0,312,927,0.24394736842105263,0,151,527,0.1386842105263158,0,70,286,0.07526315789473684,0,3800,7600,6231,0.0005264543300868649,0.0004316232803646389,0.18013157894736842,0.330926015085861,2.0,2.0,1.389623197697472,1.3960470509338332,10,7,1.6397368421052632,1.6397368421052632,1.0290260772157467,1.042491920559643,6,6,1031,1703,0.4481578947368421,0,575,1314,0.34578947368421054,0,311,913,0.24026315789473685,0,145,500,0.13157894736842105,0,63,294,0.07736842105263157,0,1680.0,17.682382946499793,23.0,0.4421052631578948,0.004653258670131507,0.0060526315789473095,1,1017.3333333333334,10.338708279513883,1314.6666666666667,0.9428090415820634,1.3333333333332575,0.34596491228070175,0.00024810764252158066,0.000350877192982435,1,585.3333333333334,11.897712198383164,909.0,16.57307052620807,22.0,0.23921052631578946,0.004361334349002126,0.005789473684210511,1,307.0,6.377042156569663,510.3333333333333,11.897712198383164,16.666666666666686,0.1342982456140351,0.0031309768943113634,0.004385964912280688,1,143.66666666666666,6.599663291074443,283.6666666666667,9.533566430716727,12.666666666666686,0.07464912280701753,0.002508833271241243,0.003333333333333327,1,64.66666666666667,3.858612300930075
4,data_3800_4_2.0_chordal_rep00,./andrea/cluster_data_rep/data_3800_4_2.0_chordal_rep00,3800,4,2.0,chordal,0,79396726,944409882,1062143034,3800,7600,6596,0.0005264543300868649,0.0004569069422701265,0.13210526315789473,0.25288053365676166,2.0,2.0,1.393405521507799,1.419970348096637,8,9,1.7357894736842105,1.7357894736842105,1.1370243518638032,1.1521984285862246,6,6,834,1393,0.36657894736842106,0,585,1234,0.32473684210526316,0,439,1117,0.2939473684210526,0,282,864,0.22736842105263158,0,164,602,0.15842105263157893,0,3800,7600,6556,0.0005264543300868649,0.0004541361300065114,0.13736842105263158,0.2593044539353264,2.0,2.0,1.411419591460277,1.4151436601799015,10,10,1.7252631578947368,1.7252631578947368,1.135222530566504,1.1303440017653343,7,6,850,1436,0.3778947368421053,0,584,1276,0.3357894736842105,0,409,1004,0.26421052631578945,0,274,756,0.19894736842105262,0,209,603,0.1586842105263158,0,3800,7600,6528,0.0005264543300868649,0.0004521965614219809,0.14105263157894732,0.2493872549019608,2.0,2.0,1.4186724706384375,1.4372854530969867,9,9,1.7178947368421054,1.7178947368421054,1.1191612411339618,1.1301587170666663,6,6,814,1370,0.3605263157894737,0,561,1268,0.3336842105263158,0,402,1085,0.2855263157894737,0,250,789,0.20763157894736842,0,141,511,0.13447368421052633,0,1399.6666666666667,27.353650985238193,36.33333333333326,0.36833333333333335,0.007198329206641633,0.009561403508771937,1,832.6666666666666,14.72714802291635,1259.3333333333333,18.208667044996886,25.333333333333258,0.3314035087719298,0.004791754485525499,0.006666666666666654,1,576.6666666666666,11.08552609887726,1068.6666666666667,47.55581516024676,64.66666666666674,0.2812280701754386,0.012514688200064945,0.017017543859649154,1,416.6666666666667,16.048537489614297,803.0,45.18849411078001,61.0,0.2113157894736842,0.011891708976521061,0.016052631578947374,1,268.6666666666667,13.59738536958076,572.0,43.135445594854666,61.0,0.1505263157894737,0.011351433051277534,0.016052631578947374,1,171.33333333333334,28.241026106633512
5,data_3800_4_2.0_chordal_rep01,./andrea/cluster_data_rep/data_3800_4_2.0_chordal_rep01,3800,4,2.0,chordal,1,865925861,1090758409,1472095281,3800,7600,6495,0.0005264543300868649,0.0004499106413044984,0.14539473684210524,0.25681293302540414,2.0,2.0,1.455479664107877,1.4142135623730951,9,9,1.7092105263157895,1.7092105263157895,1.1364392256400722,1.1175251829941188,6,6,834,1406,0.37,0,561,1239,0.32605263157894737,0,369,1003,0.26394736842105265,0,213,740,0.19473684210526315,0,114,474,0.12473684210526316,0,3800,7600,6554,0.0005264543300868649,0.0004539975893933307,0.13763157894736844,0.25480622520598106,2.0,2.0,1.4197850096702,1.4149576895292293,8,9,1.7247368421052631,1.7247368421052631,1.1466283223849352,1.1269514930066988,6,6,835,1418,0.37315789473684213,0,553,1228,0.3231578947368421,0,400,1039,0.27342105263157895,0,230,690,0.18157894736842106,0,144,524,0.13789473684210526,0,3800,7600,6554,0.0005264543300868649,0.0004539975893933307,0.13763157894736844,0.2413793103448276,2.0,2.0,1.4295748355809554,1.374006818339016,8,8,1.7247368421052631,1.7247368421052631,1.1548609778308139,1.1066871778851017,7,7,791,1331,0.35026315789473683,0,567,1259,0.33131578947368423,0,417,1107,0.2913157894736842,0,243,823,0.21657894736842107,0,159,601,0.1581578947368421,0,1385.0,38.49675310984031,54.0,0.3644736842105263,0.010130724502589568,0.014210526315789451,1,820.0,20.51016008388688,1242.0,12.832251036613439,17.0,0.3268421052631579,0.003376908167529867,0.004473684210526352,1,560.3333333333334,5.734883511361751,1049.6666666666667,43.12256434345661,57.33333333333326,0.2762280701754386,0.011348043248278039,0.015087719298245594,1,395.3333333333333,19.871811414385174,751.0,54.85131417447231,72.0,0.1976315789473684,0.014434556361703241,0.018947368421052657,1,228.66666666666666,12.283683848458853,533.0,52.23664103545199,68.0,0.14026315789473684,0.013746484483013683,0.01789473684210527,1,139.0,18.708286933869708
6,data_3800_4_2.0_chordal_rep02,./andrea/cluster_data_rep/data_3800_4_2.0_chordal_rep02,3800,4,2.0,chordal,2,1836691195,92628377,2120672310,3800,7600,6544,0.0005264543300868649,0.0004533048863274269,0.1389473684210526,0.2536674816625917,2.0,2.0,1.4157014255540572,1.390001893220975,8,8,1.7221052631578948,1.7221052631578948,1.1321315664075928,1.1110146095366515,6,6,830,1400,0.3684210526315789,0,603,1345,0.3539473684210526,0,388,1044,0.27473684210526317,0,244,776,0.20421052631578948,0,175,600,0.15789473684210525,0,3800,7600,6512,0.0005264543300868649,0.0004510882365165348,0.14315789473684215,0.25153562653562656,2.0,2.0,1.4088068860228016,1.4130966369159463,9,9,1.7136842105263157,1.7136842105263157,1.113610583577561,1.1209122719149969,6,6,819,1411,0.3713157894736842,0,537,1212,0.31894736842105265,0,379,1056,0.27789473684210525,0,253,813,0.21394736842105264,0,153,577,0.1518421052631579,0,3800,7600,6570,0.0005264543300868649,0.0004551059142987767,0.13552631578947372,0.2450532724505327,2.0,2.0,1.4153296063945113,1.4143996308644433,9,9,1.7289473684210526,1.7289473684210526,1.1439561766396569,1.1407310432434943,7,6,805,1354,0.3563157894736842,0,614,1314,0.34578947368421054,0,390,1036,0.27263157894736845,0,249,822,0.2163157894736842,0,148,559,0.14710526315789474,0,1388.3333333333333,24.689178916188272,34.33333333333326,0.3653508771929825,0.006497152346365337,0.009035087719298285,1,818.0,10.23067283548187,1290.3333333333333,56.81744645988785,78.33333333333326,0.33956140350877195,0.01495195959470732,0.020614035087719307,1,584.6666666666666,34.00326781681758,1045.3333333333333,8.219218670625303,10.666666666666742,0.2750877192982456,0.0021629522817434845,0.0028070175438596467,1,385.6666666666667,4.784233364802441,803.6666666666666,19.90533150244482,27.66666666666663,0.21149122807017542,0.005238245132222319,0.007280701754385943,1,248.66666666666666,3.681787005729087,578.6666666666666,16.77961726487096,21.33333333333337,0.15228070175438596,0.004415688753913406,0.0056140350877192935,1,158.66666666666666,11.728408057172787
7,data_3800_4_2.0_chordal_rep03,./andrea/cluster_data_rep/data_3800_4_2.0_chordal_rep03,3800,4,2.0,chordal,3,275571877,776593850,845671175,3800,7600,6528,0.0005264543300868649,0.0004521965614219809,0.14105263157894732,0.25643382352941174,2.0,2.0,1.455479664107877,1.4268109453197402,10,9,1.7178947368421054,1.7178947368421054,1.160714747800584,1.1380480932736887,7,6,837,1411,0.3713157894736842,0,574,1225,0.3223684210526316,0,397,994,0.2615789473684211,0,272,813,0.21394736842105264,0,163,536,0.14105263157894737,0,3800,7600,6561,0.0005264543300868649,0.0004544824815394633,0.1367105263157895,0.26215515927450084,2.0,2.0,1.4129103968311947,1.4082463899250166,9,10,1.726578947368421,1.726578947368421,1.137045516646193,1.1209624067967328,6,6,860,1443,0.37973684210526315,0,589,1300,0.34210526315789475,0,390,1038,0.2731578947368421,0,272,820,0.21578947368421053,0,162,547,0.14394736842105263,0,3800,7600,6533,0.0005264543300868649,0.00045254291295493274,0.14039473684210524,0.26389101484769634,2.0,2.0,1.4026291102970279,1.4093671592149735,9,9,1.7192105263157895,1.7192105263157895,1.115842569491412,1.1294383363772766,6,6,862,1449,0.3813157894736842,0,553,1243,0.32710526315789473,0,356,1001,0.26342105263157894,0,237,780,0.20526315789473684,0,139,520,0.1368421052631579,0,1434.3333333333333,16.679994670929073,23.333333333333258,0.3774561403508772,0.004389472281823441,0.0061403508771930015,1,853.0,11.343133018115703,1256.0,31.96873472629156,44.0,0.3305263157894737,0.008412824927971468,0.011578947368421022,1,572.0,14.7648230602334,1011.0,19.30457631409368,27.0,0.2660526315789474,0.00508015166160359,0.007105263157894726,1,381.0,17.90716802475106,804.3333333333334,17.441967269268172,24.33333333333337,0.21166666666666667,0.004589991386649521,0.006403508771929828,1,260.3333333333333,16.49915822768611,534.3333333333334,11.08552609887726,14.333333333333371,0.1406140350877193,0.0029172437102308536,0.0037719298245613986,1,154.66666666666666,11.08552609887726
8,data_3800_4_2.5_chordal_rep00,./andrea/cluster_data_rep/data_3800_4_2.5_chordal_rep00,3800,4,2.5,chordal,0,1724977825,1102856073,1954834790,3800,7600,6769,0.0005264543300868649,0.0004688907053102617,0.10934210526315791,0.2091889496232826,2.0,2.0,1.3862102825215303,1.410860133319201,8,8,1.7813157894736842,1.7813157894736842,1.1663340476910224,1.1911155122131956,7,8,708,1222,0.3215789473684211,0,519,1133,0.2981578947368421,0,373,973,0.25605263157894737,0,288,838,0.22052631578947368,0,232,720,0.18947368421052632,0,3800,7600,6746,0.0005264543300868649,0.00046729748825868303,0.11236842105263156,0.20930922027868368,2.0,2.0,1.4116060282342835,1.406563561532709,8,9,1.7752631578947369,1.7752631578947369,1.1796603811938624,1.1872208521587522,6,8,706,1193,0.31394736842105264,0,552,1180,0.3105263157894737,0,418,1044,0.27473684210526317,0,325,855,0.225,0,289,738,0.19421052631578947,0,3800,7600,6782,0.0005264543300868649,0.0004697912192959366,0.10763157894736841,0.21173695075199056,2.0,2.0,1.3947269115833167,1.4030042953004738,9,9,1.7847368421052632,1.7847368421052632,1.1916281141056002,1.1911863543324877,7,8,718,1230,0.3236842105263158,0,532,1165,0.30657894736842106,0,425,1077,0.28342105263157896,0,315,923,0.24289473684210527,0,225,727,0.19131578947368422,0,1215.0,15.895492023421818,22.0,0.31973684210526315,0.004183024216689954,0.005789473684210511,1,710.6666666666666,5.2493385826745405,1159.3333333333333,19.601587237318874,26.333333333333258,0.30508771929824563,0.005158312430873389,0.006929824561403508,1,534.3333333333334,13.572848714334887,1031.3333333333333,43.39226761634944,58.33333333333326,0.2714035087719298,0.011419017793776179,0.015350877192982448,1,405.3333333333333,23.04102621171394,872.0,36.72419729097788,51.0,0.2294736842105263,0.009664262444994182,0.013421052631578972,1,309.3333333333333,15.627610892974722,728.3333333333334,7.408703590297623,9.666666666666629,0.19166666666666665,0.001949658839552003,0.0025438596491228205,1,248.66666666666666,28.66279043560755
9,data_3800_4_2.5_chordal_rep01,./andrea/cluster_data_rep/data_3800_4_2.5_chordal_rep01,3800,4,2.5,chordal,1,1148128634,754215236,232694552,3800,7600,6788,0.0005264543300868649,0.00047020684113547885,0.10684210526315785,0.22127283441367118,2.0,2.0,1.3975542546666453,1.3825986212087806,9,9,1.7863157894736843,1.7863157894736843,1.1868233164576498,1.1711991629199436,7,7,751,1286,0.33842105263157896,0,552,1222,0.3215789473684211,0,464,1166,0.3068421052631579,0,335,924,0.2431578947368421,0,230,728,0.19157894736842104,0,3800,7600,6759,0.0005264543300868649,0.00046819800224435793,0.11065789473684207,0.2166000887705282,2.0,2.0,1.403941819157385,1.4195996470465668,9,9,1.7786842105263159,1.7786842105263159,1.1808642487437828,1.180864248743783,7,7,732,1242,0.3268421052631579,0,537,1196,0.31473684210526315,0,407,1010,0.2657894736842105,0,306,875,0.23026315789473684,0,237,708,0.1863157894736842,0,3800,7600,6755,0.0005264543300868649,0.00046792092101799644,0.11118421052631577,0.2078460399703923,2.0,2.0,1.4301269726477914,1.440942673902638,10,8,1.7776315789473685,1.7776315789473685,1.1939649430860855,1.2134225935681755,7,8,702,1220,0.32105263157894737,0,496,1139,0.29973684210526313,0,367,1045,0.275,0,278,859,0.22605263157894737,0,182,633,0.16657894736842105,0,1249.3333333333333,27.438820836342238,36.66666666666674,0.3287719298245614,0.007220742325353226,0.009649122807017574,1,728.3333333333334,20.17148702720969,1185.6666666666667,34.663461390281775,46.66666666666674,0.3120175438596491,0.00912196352375838,0.012280701754385948,1,528.3333333333334,23.66901396810231,1073.6666666666667,66.83478801409404,92.33333333333326,0.2825438596491228,0.017588102108972124,0.024298245614035097,1,412.6666666666667,39.802289158065044,886.0,27.65260686927485,38.0,0.23315789473684212,0.007277001807703907,0.009999999999999981,1,306.3333333333333,23.27134623427608,689.6666666666666,40.89281382128432,56.66666666666663,0.18149122807017545,0.010761266795074822,0.014912280701754405,1,216.33333333333334,24.44494948973214
