split,cycle2,cycle3,cycle4,cycle5,cycle6,scatter_gather,biclique
train,3248,3784,4575,5653,6975,9321,4722
val,3208,3675,4609,5625,6988,9285,4693
test,3268,3734,4678,5760,7131,9277,4737
