# model_name=pna_reverse_mp_with_port_and_ego_scaffold
# seed=0
# started_at=20260105-165349
epoch,train_loss,val_loss,val_macro_minF1,val_deg-in_minF1,val_deg-out_minF1,val_fan-in_minF1,val_fan-out_minF1,val_C2_minF1,val_C3_minF1,val_C4_minF1,val_C5_minF1,val_C6_minF1,val_S-G_minF1,val_B-C_minF1
1,nan,0.8172241686843336,0.26199800199405715,0.5932486057281494,0.015293537639081478,0.6273412704467773,0.0,0.0,0.0,0.6480991840362549,0.5104100108146667,0.0,0.4798663854598999,0.0077190278097987175
2,nan,0.8181645688600838,0.17997496862980453,0.3105895221233368,0.028446892276406288,0.0,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
3,nan,0.8174570903647691,0.26849385465241293,0.5915815830230713,0.005198856350034475,0.7159637212753296,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
4,nan,0.8167347598355263,0.2753271402960474,0.5882716774940491,0.0338401161134243,0.5180308818817139,0.0,0.0,0.0,0.5871036648750305,0.5104100108146667,0.0,0.4798663854598999,0.3110758066177368
5,nan,0.8174907905049622,0.26551045705987647,0.6198055148124695,0.010413954965770245,0.6497073173522949,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
6,nan,0.8177477694116533,0.21687938645482063,0.6469148397445679,0.01899871602654457,0.07907145470380783,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
7,nan,0.817333453334868,0.2667787477628074,0.5930804014205933,0.01512933149933815,0.6834502220153809,0.0,0.0,0.0,0.6503006815910339,0.5104100108146667,0.0,0.4798663854598999,0.002329192589968443
8,nan,0.8172138067893684,0.2580552311106162,0.5850856304168701,0.01831766590476036,0.5564627051353455,0.0,0.0,0.0,0.6479246020317078,0.5104100108146667,0.0,0.4798663854598999,0.04054054245352745
9,nan,0.8175532124005258,0.24589911882172932,0.6173526644706726,0.015800204128026962,0.4310491979122162,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
10,nan,0.8175120665691793,0.25276632725515147,0.6249151825904846,0.014826176688075066,0.5,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
11,nan,0.8172947810962796,0.2597173961218108,0.5901537537574768,0.013847675174474716,0.6098337769508362,0.0,0.0,0.0,0.6496825814247131,0.5104100108146667,0.0,0.4798663854598999,0.003097173757851124
12,nan,0.8174373987130821,0.270346491004933,0.5922451615333557,0.012903226539492607,0.7279747724533081,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
13,nan,0.8175320941954851,0.24659583074125377,0.6245184540748596,0.015840571373701096,0.431506872177124,0.0,0.0,0.0,0.65041184425354,0.5104100108146667,0.0,0.4798663854598999,0.0
14,nan,0.817375608952716,0.271408771879082,0.602267861366272,0.011111111380159855,0.7307631373405457,0.0,0.0,0.0,0.6503006815910339,0.5104100108146667,0.0,0.4798663854598999,0.0007773027173243463
15,nan,0.8173860451206565,0.26663994268429553,0.5859375,0.013271073810756207,0.6909245252609253,0.0,0.0,0.0,0.6503006815910339,0.5104100108146667,0.0,0.4798663854598999,0.002329192589968443
